2024-03-24 19:01:11 INFO  TestBase:37 - Launching Edge browser
2024-03-24 19:01:16 INFO  TestBase:30 - Loading the page
2024-03-24 19:01:16 INFO  TestBase:40 - Navigating to url : https://www.saucedemo.com/
2024-03-24 19:01:17 INFO  TestBase:46 - Successfully navigated to url : https://www.saucedemo.com/
2024-03-24 19:01:17 INFO  TestBase:88 - Finding element: null
2024-03-24 19:01:17 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (281c62aa4faa4d8922ed6bdefca6cefb)] -> css selector: input#user-name]
2024-03-24 19:01:18 INFO  TestBase:88 - Finding element: null
2024-03-24 19:01:18 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (281c62aa4faa4d8922ed6bdefca6cefb)] -> css selector: input#user-name]
2024-03-24 19:03:55 INFO  TestBase:37 - Launching Edge browser
2024-03-24 19:04:00 INFO  TestBase:30 - Loading the page
2024-03-24 19:04:00 INFO  TestBase:40 - Navigating to url : https://www.saucedemo.com/
2024-03-24 19:04:01 INFO  TestBase:46 - Successfully navigated to url : https://www.saucedemo.com/
2024-03-24 19:04:01 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:01 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (c8ca47e1e246289846ae692819f68e7b)] -> css selector: input#user-name]
2024-03-24 19:04:01 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:01 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (c8ca47e1e246289846ae692819f68e7b)] -> css selector: input#user-name]
2024-03-24 19:04:02 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:02 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (c8ca47e1e246289846ae692819f68e7b)] -> css selector: input#password]
2024-03-24 19:04:02 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:02 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (c8ca47e1e246289846ae692819f68e7b)] -> css selector: input#password]
2024-03-24 19:04:03 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:03 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (c8ca47e1e246289846ae692819f68e7b)] -> css selector: input#login-button]
2024-03-24 19:04:03 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:03 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (c8ca47e1e246289846ae692819f68e7b)] -> css selector: input#login-button]
2024-03-24 19:04:03 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:03 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (c8ca47e1e246289846ae692819f68e7b)] -> css selector: input#login-button]
2024-03-24 19:04:03 INFO  TestBase:88 - Finding element: null
